STT,DQT,THI,TKHP,Danhgia,Diemhechu
1,8,2.5,4.2,DAT,D
2,8.5,4,5.4,DAT,D+
3,6.5,0.5,2.3,HOCLAI,F+
4,7,1,2.8,HOCLAI,F
5,4,0,1.2,HOCLAI,F
6,1,1,1,HOCLAI,F
7,5,4,4.3,DAT,D
9,10,5,6.5,DAT,C
10,8,6,6.6,DAT,C
11,9,2.5,4.5,DAT,D+
12,7,2,3.5,HOCLAI,F+
13,8,5,5.9,DAT,C
15,8,2.5,4.2,DAT,D
16,8,2,3.8,HOCLAI,F+
17,6.5,1,2.7,HOCLAI,F+
18,5,4,4.3,DAT,D
19,6,6,6,DAT,C+
20,6,6.5,6.4,DAT,C
21,8,7,7.3,DAT,B
22,6,4.5,5,DAT,D+
23,9,6,6.9,DAT,C+
24,10,8,8.6,DAT,A
25,6.5,6,6.2,DAT,C
26,8,4,5.2,DAT,D+
27,5.5,0,1.7,HOCLAI,F
28,6,1,2.5,HOCLAI,F+
29,7.5,3.5,4.7,DAT,D+
30,8,6.5,7,DAT,B
31,6,4.5,5,DAT,D+
32,8,2,3.8,HOCLAI,F+
33,5.5,1.5,2.7,HOCLAI,F+
34,7,6,6.3,DAT,C
36,6.5,0,2,HOCLAI,F+
37,8.5,3,4.7,DAT,D+
38,7.5,3,4.4,DAT,D
39,5.5,0.5,2,HOCLAI,F+
40,6,5,5.3,DAT,D+
41,6,2,3.2,HOCLAI,F+
42,9,6,6.9,DAT,C+
44,9,7.5,8,DAT,B+
45,7.5,2,3.7,HOCLAI,F+
46,6,0.5,2.2,HOCLAI,F+
47,9,6.5,7.3,DAT,B
48,3.5,3.5,3.5,HOCLAI,F+
49,8,8,8,DAT,B+
50,9.5,8,8.5,DAT,A
51,1,4.5,3.5,HOCLAI,F+
52,8,4.5,5.6,DAT,C
53,6.5,4.5,5.1,DAT,D+
54,9,2.5,4.5,DAT,D+
55,7,6.5,6.7,DAT,C+
56,9,0.5,3.1,HOCLAI,F+
57,10,7.5,8.3,DAT,B
58,10,9,9.3,DAT,A
59,1,0.5,0.7,HOCLAI,F
61,9,2,4.1,DAT,D
62,6,5,5.3,DAT,D+
63,8,2,3.8,HOCLAI,F+
64,10,0,3,HOCLAI,F+
66,9.5,5,6.4,DAT,C+
67,6,4,4.6,DAT,D
68,8.5,7,7.5,DAT,B
69,7.5,2.5,4,DAT,D
70,6.5,0.5,2.3,HOCLAI,F+
71,4,2,2.6,HOCLAI,F+
72,8.5,3,4.7,DAT,D+
73,9,4,5.5,DAT,C
74,3,1.5,2,HOCLAI,F+
75,8.5,8,8.2,DAT,B
76,8,0,2.4,HOCLAI,F+
78,8,3,4.5,DAT,D+
79,7,0,2.1,HOCLAI,F+
80,3,6,5.1,DAT,D+
81,9,1.5,3.8,HOCLAI,F+
82,5,0,1.5,HOCLAI,F
83,10,5.5,6.9,DAT,C
84,9,5,6.2,DAT,C+
85,5,0,1.5,HOCLAI,F
86,8,2.5,4.2,DAT,D
87,8.5,5.5,6.4,DAT,C+
88,4,1,1.9,HOCLAI,F
89,8,6,6.6,DAT,C+
90,8.5,5.5,6.4,DAT,C
91,7,4.5,5.3,DAT,D+
92,7.5,2,3.7,HOCLAI,F+
94,8,4,5.2,DAT,D+
95,9,7,7.6,DAT,B
96,5,3,3.6,HOCLAI,F+
97,4,3,3.3,HOCLAI,F+
98,8,2.5,4.2,DAT,D
99,9,3,4.8,DAT,D+
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
